order_id,order_date,customer_name,shipping_cost
AE-2014-PO8865138-41914,10/2/2014 0:00,Patrick O'Donnell,5.69
AE-2016-EB4110138-42657,10/14/2016 0:00,Eugene Barchas,60.08
AE-2016-MY7380138-42735,12/31/2016 0:00,Maribeth Yedwab,1.75
AE-2017-GH4665138-43082,12/13/2017 0:00,Greg Hansen,6.73
AE-2017-JD5790138-42801,3/7/2017 0:00,John Dryer,1.49
AE-2017-PG8820138-43044,11/5/2017 0:00,Patrick Gardner,8.04
AG-2014-AA6453-41750,4/21/2014 0:00,Anna Andreadi,47.5
AG-2014-AC4203-41646,1/7/2014 0:00,Alyssa Crouse,4.36
AG-2014-AH2103-41863,8/12/2014 0:00,Alan Hwang,20.15
AG-2014-AJ7803-41708,3/10/2014 0:00,Anthony Jacobs,2.83
