customer_name,city,state,country,region
"Aimee Bixby",Yonkers,"New York","United States","Eastern US"
"Nathan Cano",Yonkers,"New York","United States","Eastern US"
"Alan Dominguez",Philadelphia,Pennsylvania,"United States","Eastern US"
"Art Foster",Philadelphia,Pennsylvania,"United States","Eastern US"
"Giulietta Baptist",Philadelphia,Pennsylvania,"United States","Eastern US"
"Kean Thornton",Philadelphia,Pennsylvania,"United States","Eastern US"
"Nicole Brennan",Philadelphia,Pennsylvania,"United States","Eastern US"
"Quincy Jones",Philadelphia,Pennsylvania,"United States","Eastern US"
"Suzanne McNair",Philadelphia,Pennsylvania,"United States","Eastern US"
"Allen Goldenen",Arlington,Virginia,"United States","Southern US"
